2022-01-06 12:47:31.072 WARN  o.s.w.s.m.support.DefaultHandlerExceptionResolver - Resolved [org.springframework.http.converter.HttpMessageNotReadableException: Required request body is missing: public java.lang.Object com.zestfulYoghurt.zy.controllers.login.LoginController.loginCheckOut(com.zestfulYoghurt.zy.pojos.basePojo.User)]
2022-01-06 12:47:54.846 WARN  o.s.w.s.m.support.DefaultHandlerExceptionResolver - Resolved [org.springframework.http.converter.HttpMessageNotReadableException: Required request body is missing: public java.lang.Object com.zestfulYoghurt.zy.controllers.login.LoginController.loginCheckOut(com.zestfulYoghurt.zy.pojos.basePojo.User)]
2022-01-06 12:48:54.010 WARN  o.s.w.s.m.support.DefaultHandlerExceptionResolver - Resolved [org.springframework.http.converter.HttpMessageNotReadableException: Required request body is missing: public java.lang.Object com.zestfulYoghurt.zy.controllers.login.LoginController.loginCheckOut(com.zestfulYoghurt.zy.pojos.basePojo.User)]
2022-01-06 12:51:53.854 WARN  o.s.w.s.m.support.DefaultHandlerExceptionResolver - Resolved [org.springframework.http.converter.HttpMessageNotReadableException: Required request body is missing: public java.lang.Object com.zestfulYoghurt.zy.controllers.login.LoginController.loginCheckOut(com.zestfulYoghurt.zy.pojos.basePojo.User)]
2022-01-06 15:17:35.853 WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=57s953ms792µs).
2022-01-06 15:51:46.024 WARN  c.z.zy.handlerInterceptor.TokenVerification - 还没有登录，请登录
2022-01-06 15:55:28.071 WARN  c.z.zy.handlerInterceptor.TokenVerification - 还没有登录，请登录
2022-01-06 15:56:36.018 WARN  c.z.zy.handlerInterceptor.TokenVerification - 还没有登录，请登录
2022-01-06 16:13:39.505 WARN  c.z.zy.handlerInterceptor.TokenVerification - 还没有登录，请登录
2022-01-06 16:14:08.354 WARN  c.z.zy.handlerInterceptor.TokenVerification - 还没有登录，请登录
2022-01-06 16:15:23.126 WARN  c.z.zy.handlerInterceptor.TokenVerification - 还没有登录，请登录
2022-01-06 16:15:23.126 WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=1m13s339ms71µs500ns).
2022-01-06 16:15:39.349 WARN  c.z.zy.handlerInterceptor.TokenVerification - 还没有登录，请登录
2022-01-06 16:15:52.640 WARN  c.z.zy.handlerInterceptor.TokenVerification - 还没有登录，请登录
2022-01-06 16:17:01.447 WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=1m7s146ms101µs).
2022-01-06 16:20:54.877 WARN  c.z.zy.handlerInterceptor.TokenVerification - 还没有登录，请登录
2022-01-06 16:21:03.660 WARN  c.z.zy.handlerInterceptor.TokenVerification - 还没有登录，请登录
2022-01-06 16:21:42.147 WARN  c.z.zy.handlerInterceptor.TokenVerification - 还没有登录，请登录
